,customer_id,email,signup_date,gender,region,loyalty_tier
52,C00053,bradley60@frost.com,2024-11-24,female,North,gold
53,C00054,rushsamantha@hotmail.com,2024-11-04,female,East,silver
54,C00055,william65@terry-spencer.com,2024-12-16,female,North,gold
55,C00056,christinaturner@hotmail.com,2025-05-25,male,South,bronze
56,C00057,justin69@pena.com,2025-01-20,male,Central,gold
57,C00058,donnacampbell@hotmail.com,2025-03-08,male,West,gold
58,C00059,cardenaskaren@hotmail.com,2024-11-03,female,West,bronze
59,C00060,dylanwilliams@carr-mack.info,2024-12-13,male,West,gold 
60,C00061,psnyder@douglas.com,2025-05-04,female,North,gold 
61,C00062,gregoryrubio@hotmail.com,2025-01-02,male,West,gold
62,C00063,samanthamartinez@solis.net,2025-02-08,male,North,gold 
63,C00064,usalazar@hotmail.com,2024-12-18,female,Central,gold
64,C00065,juliawells@yahoo.com,2025-04-23,male,North,gold
65,C00066,katie87@allen.com,2024-10-19,Other,South,gold
66,C00067,patricia12@gmail.com,2024-10-03,Other,Central,silver
67,C00068,jasminebrown@yahoo.com,2024-11-11,female,East,gold
68,C00069,abrown@yahoo.com,2025-06-22,female,North,gold
69,C00070,wwoods@molina-castaneda.biz,2025-01-31,male,Central,gold
70,C00071,brobinson@johnson-rogers.biz,2025-04-13,male,Central,gold 
71,C00072,ncalhoun@johnson.com,2024-08-07,female,East,gold 
72,C00073,michellewhite@yahoo.com,2024-11-30,female,North,silver
73,C00074,shawnrogers@yahoo.com,2024-10-22,male,North,bronze
74,C00075,mary70@hotmail.com,2025-01-31,Other,North,gold 
75,C00076,jeffrey10@herring.com,2025-03-04,female,North,gold
76,C00077,davidcaldwell@gould.com,2024-09-09,female,Central,gold
77,C00078,tamirodriguez@hickman.biz,2024-12-07,male,West,gold
78,C00079,vargasmaria@garcia.org,2025-05-14,female,North,bronze
79,C00080,reedross@jones-holland.com,2025-05-31,female,North,bronze
80,C00081,xgarcia@hotmail.com,2025-06-17,female,Central,gold 
81,C00082,ryangross@hotmail.com,2024-10-18,female,North,gold 
82,C00083,ugraham@hotmail.com,2024-10-18,female,Central,silver
83,C00084,mariahmiller@yahoo.com,2024-10-08,female,West,gold
84,C00085,frogers@yahoo.com,2024-09-14,male,South,gold
85,C00086,michaelgreen@yahoo.com,2025-06-12,male,East,bronze
86,C00087,blackjames@gmail.com,2025-04-11,female,North,bronze
88,C00089,fmcguire@yahoo.com,2024-09-30,male,West,silver
89,C00090,kevinperkins@yahoo.com,2025-02-05,female,East,gold
90,C00091,jbarajas@yahoo.com,2024-11-19,male,West,silver
91,C00092,kristopher31@hotmail.com,2024-09-18,male,East,gold 
92,C00093,newtonstephanie@hotmail.com,2024-09-15,male,Central,gold 
93,C00094,joannahill@bray.com,2025-05-25,female,Central,silver
94,C00095,jeremy24@erickson.com,2024-07-23,male,East,gold
95,C00096,heidi27@salas.com,2025-01-04,Other,South,gold
96,C00097,dpeterson@yahoo.com,2025-07-06,female,East,silver
97,C00098,shortrichard@gmail.com,2025-02-15,female,East,gold
98,C00099,edwardhart@miller-wright.net,2025-04-28,female,South,gold
99,C00100,kimberlyjames@yahoo.com,2024-10-29,male,South,gold
100,C00101,ashley09@hotmail.com,2024-08-13,male,West,bronze
101,C00102,josephmiller@thompson.com,2024-07-07,male,East,bronze
102,C00103,enorris@yahoo.com,2024-07-18,male,Central,gold
103,C00104,jasmine71@hall.org,2025-03-19,female,West,silver
104,C00105,owilson@hernandez.com,2024-09-08,male,West,gold 
105,C00106,scott74@hotmail.com,2024-12-09,female,East,gold 
106,C00107,mkim@gmail.com,2025-06-16,female,North,silver
107,C00108,cassandra01@gmail.com,2025-03-24,female,West,bronze
108,C00109,barbara27@pearson.org,2024-12-22,Other,East,bronze
109,C00110,harrisonricky@yahoo.com,2025-03-23,female,South,gold
110,C00111,marksteele@bates-morales.net,2024-07-20,Other,East,silver
111,C00112,edwardsmarcus@yahoo.com,2025-06-06,male,North,bronze
112,C00113,mgutierrez@cox.com,2024-09-23,female,North,gold
113,C00114,sarakim@hotmail.com,2025-01-10,male,North,bronze
114,C00115,dudleychelsea@mckinney.net,2024-07-11,male,South,bronze
115,C00116,walkermaureen@gmail.com,2025-01-01,female,East,silver
116,C00117,tyronemoran@thornton.info,2024-10-08,female,North,silver
117,C00118,patrickweeks@hotmail.com,2025-04-21,male,East,silver
118,C00119,hillkristy@morgan-french.com,2025-05-20,female,South,silver
119,C00120,jessica99@burns.com,2024-11-12,female,West,gold
120,C00121,mcantu@hotmail.com,2024-10-06,female,West,gold
121,C00122,melissajenkins@yahoo.com,2025-04-21,female,Central,gold
122,C00123,qhughes@hotmail.com,2024-09-03,female,Central,gold 
123,C00124,martineztammy@yahoo.com,2025-06-08,female,North,gold
124,C00125,dgarcia@bowen.com,2024-08-04,female,South,gold
125,C00126,matthew61@yahoo.com,2025-06-02,female,West,silver
126,C00127,courtney78@gmail.com,2025-03-02,female,East,silver
127,C00128,crystalmccall@francis.com,2025-04-27,male,East,silver
128,C00129,tjackson@williams.com,2024-11-22,female,West,gold
129,C00130,hthomas@yahoo.com,2025-02-10,female,South,gold
130,C00131,gregorylynch@harvey-allen.org,2024-08-30,male,Central,gold
131,C00132,dlittle@estrada-nolan.info,2025-06-20,female,South,bronze
132,C00133,charleslandry@hotmail.com,2024-10-30,female,Central,bronze
133,C00134,stephen43@yahoo.com,2025-06-02,male,South,gold
134,C00135,youngashley@hotmail.com,2024-10-28,male,East,silver
135,C00136,spencedominique@yahoo.com,2024-07-09,male,Central,gold 
136,C00137,swall@lawson.com,2025-03-10,female,North,bronze
137,C00138,erica21@lucas.org,2024-11-24,female,East,gold
138,C00139,browningmark@thompson-anderson.net,2025-06-11,Other,Central,bronze
139,C00140,maria47@yahoo.com,2025-04-21,female,South,silver
140,C00141,mcdonaldcharles@gmail.com,2025-06-05,female,Central,gold
141,C00142,christopher60@yahoo.com,2025-01-30,Other,East,bronze
142,C00143,vrichardson@baker.com,2024-08-17,Other,Central,gold 
143,C00144,jjohnson@herman-walker.com,2025-03-09,female,East,gold 
144,C00145,debra12@gmail.com,2024-07-20,male,Central,bronze
145,C00146,pwilson@hotmail.com,2024-08-27,female,East,silver
146,C00147,vwatson@hotmail.com,2025-01-31,male,East,gold
148,C00149,antonio53@yahoo.com,2024-12-25,male,East,gold 
149,C00150,cory58@howard.com,2025-05-31,female,West,bronze
150,C00151,batesdarlene@hotmail.com,2024-07-14,female,Central,gold 
151,C00152,john29@jones.com,2025-02-18,Other,North,silver
152,C00153,markhernandez@smith.com,2025-01-31,male,West,gold 
153,C00154,danieldelacruz@gmail.com,2024-07-11,Other,East,bronze
154,C00155,briannasmith@yahoo.com,2024-07-26,male,South,gold
155,C00156,vfox@alvarez.net,2025-02-21,female,South,bronze
156,C00157,ngordon@acosta.net,2024-10-31,female,South,silver
157,C00158,browntimothy@yahoo.com,2024-12-18,Other,East,bronze
158,C00159,cjoseph@lam.org,2024-09-01,male,West,bronze
159,C00160,joshuaschultz@joseph.com,2024-12-29,Other,Central,gold 
160,C00161,mcguiredanny@hotmail.com,2025-03-15,Other,West,silver
161,C00162,ohayes@morgan-chavez.biz,2025-04-15,female,West,silver
162,C00163,ronald45@mcdaniel.com,2024-08-10,female,East,silver
163,C00164,reynoldsjulie@cain-hawkins.org,2025-02-09,male,Central,gold 
164,C00165,jenkinsmorgan@yahoo.com,2025-06-08,male,Central,gold 
165,C00166,caroline51@romero.com,2024-11-18,female,North,gold
166,C00167,farmeraudrey@yahoo.com,2025-05-30,female,Central,gold 
167,C00168,anthony44@bell-white.com,2025-02-10,female,South,bronze
168,C00169,thomascynthia@gmail.com,2024-08-10,female,East,gold 
169,C00170,vbarnes@wood.com,2025-05-03,male,West,gold 
170,C00171,moorekaren@craig.info,2025-03-20,male,Central,silver
171,C00172,alawson@yahoo.com,2024-09-27,female,East,bronze
172,C00173,russell49@rose-parker.com,2024-12-06,female,West,gold
173,C00174,harrissierra@duran.com,2024-08-21,Other,South,bronze
174,C00175,lburgess@james.com,2025-01-16,male,North,bronze
175,C00176,sandersjudy@yahoo.com,2024-07-13,Other,South,bronze
176,C00177,atkinsbarbara@hotmail.com,2024-12-10,female,West,gold
177,C00178,darius05@gmail.com,2025-05-13,female,North,silver
178,C00179,christopher13@yahoo.com,2025-02-19,female,South,gold
179,C00180,fosterkyle@yahoo.com,2024-09-30,Other,West,gold
180,C00181,charlesschultz@hotmail.com,2025-01-20,Other,South,bronze
181,C00182,michael23@thomas.com,2025-02-24,Other,South,gold
182,C00183,thompsonkendra@marshall-elliott.org,2024-12-27,female,South,gold 
183,C00184,edward17@yahoo.com,2025-03-08,female,North,silver
184,C00185,brittany58@gmail.com,2024-11-03,male,East,silver
185,C00186,xjohnson@yahoo.com,2024-08-04,female,North,silver
186,C00187,jford@huang.com,2024-11-07,female,Central,gold
187,C00188,susanhayes@yahoo.com,2025-04-09,female,East,gold
188,C00189,benjaminzimmerman@warren-bishop.com,2024-11-27,male,North,bronze
189,C00190,vortiz@hotmail.com,2025-02-23,male,Central,gold
190,C00191,cameron18@hughes.org,2025-06-10,Other,East,silver
191,C00192,christopher25@ponce-hale.biz,2024-08-25,female,West,gold 
192,C00193,angelica52@warner.net,2024-08-11,female,South,gold
193,C00194,andrew42@gmail.com,2024-11-15,female,Central,gold 
194,C00195,jeremytaylor@gmail.com,2024-10-28,female,Central,silver
195,C00196,stanleynancy@anderson.org,2025-05-16,female,South,gold
196,C00197,xwilliams@ball.info,2024-10-04,Other,West,gold
197,C00198,tammy73@gregory-hudson.info,2025-01-01,male,West,gold 
198,C00199,ashaw@gmail.com,2025-05-19,female,East,gold 
199,C00200,moniquewilliams@sawyer-spencer.com,2025-04-08,male,East,bronze
200,C00201,christopher24@whitehead-hernandez.biz,2024-08-10,female,East,gold 
201,C00202,bwilkerson@brown-shaw.com,2024-12-02,female,Central,bronze
202,C00203,jeffrey51@santos.com,2025-06-27,female,West,gold
203,C00204,katherineharrison@hotmail.com,2024-07-08,female,South,silver
204,C00205,scottmary@bentley.com,2024-10-06,female,East,silver
205,C00206,williamsrobert@hotmail.com,2024-12-30,Other,East,gold
206,C00207,copelandvincent@smith.com,2024-10-27,female,Central,gold
207,C00208,mendezjohn@yahoo.com,2024-09-16,female,East,silver
208,C00209,carlos88@hartman.info,2024-07-22,male,North,silver
209,C00210,jon05@gmail.com,2024-11-16,female,North,silver
210,C00211,ingramjill@anderson-bell.com,2025-05-17,male,North,silver
211,C00212,epollard@white.info,2024-07-20,male,West,gold 
212,C00213,bradleygonzalez@gmail.com,2024-11-05,female,South,bronze
213,C00214,ihays@yahoo.com,2024-10-12,Other,East,gold 
214,C00215,justinatkins@glenn.com,2024-08-23,male,North,gold 
215,C00216,vpreston@yahoo.com,2025-06-18,male,South,bronze
216,C00217,terri77@yahoo.com,2025-06-29,female,South,bronze
217,C00218,acostachristian@hotmail.com,2025-05-21,female,West,bronze
218,C00219,manuel15@phillips.com,2025-03-30,female,South,silver
219,C00220,sergio59@yahoo.com,2024-10-20,female,East,gold
220,C00221,lambertrichard@owen.com,2025-05-31,female,West,silver
221,C00222,martinezjoel@hotmail.com,2024-11-25,female,East,silver
222,C00223,cherring@hotmail.com,2024-09-03,female,South,gold
223,C00224,nathan19@gmail.com,2025-01-27,female,West,gold 
224,C00225,redwards@gmail.com,2024-08-19,female,South,gold
225,C00226,victorhughes@wilson.com,2024-08-10,male,East,gold 
226,C00227,igonzalez@gmail.com,2024-12-28,male,East,bronze
227,C00228,zosborn@ponce.com,2025-02-04,male,North,silver
228,C00229,melissa25@hotmail.com,2024-10-01,female,South,bronze
229,C00230,laurayoung@johnson-spencer.com,2025-01-03,Other,South,bronze
230,C00231,jonesraymond@higgins.org,2024-08-03,male,Central,silver
231,C00232,dawn77@holmes.net,2025-03-11,male,Central,gold
232,C00233,ryanbartlett@guerra.com,2024-11-01,Other,Central,silver
233,C00234,marcusfletcher@meza-stone.com,2025-05-30,Other,Central,gold
234,C00235,james84@weber.net,2024-08-11,Other,South,silver
235,C00236,georgeweber@morgan.com,2024-08-06,Other,North,gold
236,C00237,debra96@fowler.com,2025-03-12,female,South,bronze
237,C00238,zsanchez@hotmail.com,2024-12-10,male,South,silver
238,C00239,djones@gmail.com,2024-12-23,female,South,bronze
239,C00240,vmarshall@hotmail.com,2024-08-30,female,North,silver
240,C00241,jessica56@gmail.com,2025-04-27,female,West,gold
241,C00242,floressteven@yahoo.com,2024-12-27,female,West,bronze
242,C00243,colinroberts@lin-barnes.com,2025-05-17,Other,West,silver
243,C00244,james27@hotmail.com,2025-01-03,male,West,bronze
244,C00245,tyler16@hotmail.com,2024-12-30,male,North,gold
245,C00246,brandywilliams@simpson-khan.info,2024-10-24,male,South,gold
246,C00247,jordannicole@diaz.com,2025-02-12,female,East,silver
247,C00248,angela16@cole.org,2025-03-27,female,West,gold
248,C00249,theresalong@grant-diaz.com,2024-09-21,male,South,gold
249,C00250,williamsderrick@yahoo.com,2025-05-14,female,West,gold 
250,C00251,ghernandez@gmail.com,2024-11-10,male,North,gold
251,C00252,phillipjensen@yahoo.com,2025-02-21,female,North,bronze
252,C00253,terickson@yahoo.com,2025-05-18,male,East,gold 
254,C00255,tammy99@gmail.com,2025-04-12,female,North,gold 
255,C00256,ojackson@harvey.com,2024-07-18,female,East,gold 
256,C00257,andrewedwards@gutierrez.biz,2025-01-16,female,South,gold 
257,C00258,thorntonapril@hotmail.com,2024-11-09,female,East,bronze
258,C00259,ledwards@yahoo.com,2025-06-25,female,West,gold
259,C00260,erica49@yahoo.com,2024-09-18,Other,East,silver
260,C00261,angela34@bush-vaughn.info,2024-11-06,female,Central,gold 
261,C00262,ann44@gmail.com,2025-02-13,female,South,gold 
262,C00263,xcardenas@gmail.com,2024-10-26,male,Central,gold
263,C00264,stephanie15@douglas-burgess.com,2024-09-22,female,Central,bronze
264,C00265,derrick99@gmail.com,2024-10-08,male,West,gold 
265,C00266,danawilliams@rivera-kennedy.com,2024-07-08,male,South,silver
266,C00267,edelgado@santos-avila.com,2024-11-07,male,West,bronze
267,C00268,velezchristopher@hotmail.com,2024-10-04,male,East,silver
268,C00269,robertmonroe@osborn.info,2024-09-16,male,Central,gold 
269,C00270,smithashley@gmail.com,2025-07-01,male,North,silver
270,C00271,shawn88@yahoo.com,2025-06-16,female,West,silver
271,C00272,znelson@rivera.info,2025-03-14,female,South,silver
272,C00273,alexisrogers@yahoo.com,2025-02-11,male,Central,gold
273,C00274,cherylfowler@wilcox-robertson.com,2024-12-08,female,South,gold
274,C00275,tinawoods@smith.com,2024-12-26,Other,West,gold
275,C00276,kevin90@yahoo.com,2025-03-16,female,West,gold 
276,C00277,bryanwilson@yahoo.com,2024-09-06,female,South,gold 
277,C00278,hannah45@hotmail.com,2024-09-29,female,Central,bronze
278,C00279,timothygibson@brooks.net,2025-05-13,Other,West,gold 
279,C00280,erinlarson@fox.com,2024-08-05,male,Central,gold 
280,C00281,poolerebecca@armstrong.com,2024-11-10,Other,East,bronze
281,C00282,frazierjennifer@yahoo.com,2024-08-10,male,West,bronze
282,C00283,chavezwilliam@yahoo.com,2025-02-10,female,East,gold
283,C00284,tchambers@johnson.com,2025-02-15,male,East,gold
284,C00285,hendersonisabella@mcknight.info,2024-07-18,male,Central,bronze
285,C00286,iwhite@hotmail.com,2025-04-15,female,South,bronze
286,C00287,victoria67@yahoo.com,2024-11-28,female,South,gold 
287,C00288,desireebailey@haney.net,2024-08-24,Other,North,bronze
288,C00289,avilatiffany@nunez-stephens.net,2024-11-30,female,West,gold
289,C00290,stevenmoore@pineda.com,2024-07-18,male,South,gold
290,C00291,allencarlos@hotmail.com,2024-07-19,Other,East,gold 
291,C00292,sanchezbradley@yahoo.com,2024-10-05,female,Central,gold 
292,C00293,taylorvictoria@cabrera.org,2024-11-06,female,South,silver
293,C00294,kevinthomas@hotmail.com,2025-01-24,male,West,gold
294,C00295,dturner@fry.biz,2025-02-06,Other,North,bronze
295,C00296,comptonshelly@hotmail.com,2024-12-01,male,East,gold 
296,C00297,trussell@yahoo.com,2024-09-15,Other,South,silver
297,C00298,melissaturner@hotmail.com,2024-08-31,female,East,bronze
298,C00299,harttammy@hotmail.com,2025-01-27,female,Central,silver
299,C00300,nsanchez@lucas-nielsen.com,2024-08-10,female,East,bronze
300,C00301,adamsemily@williams.org,2025-04-13,female,Central,gold
301,C00302,vclark@krueger-smith.com,2025-04-19,male,South,silver
302,C00303,srocha@padilla.com,2025-05-03,Other,Central,bronze
304,C00305,william77@gmail.com,2025-05-13,male,Central,silver
305,C00306,robin55@yahoo.com,2024-07-23,female,Central,gold 
306,C00307,allentran@riley.com,2024-10-03,male,South,bronze
307,C00308,victorpena@hotmail.com,2024-11-14,Other,East,bronze
308,C00309,plevy@hotmail.com,2025-01-12,Other,South,bronze
309,C00310,jessicabell@gmail.com,2025-04-11,female,West,gold
310,C00311,sabrinaweaver@hotmail.com,2024-07-28,male,North,gold
311,C00312,landryelizabeth@gutierrez.com,2024-08-01,Other,North,gold 
312,C00313,robinsonstephen@williamson.org,2025-06-25,male,East,bronze
313,C00314,ismith@hotmail.com,2024-12-12,female,South,gold
314,C00315,morenojoshua@smith-li.biz,2025-05-15,Other,South,gold 
315,C00316,hullalice@lee.com,2025-05-18,female,South,gold
316,C00317,laura15@yahoo.com,2024-12-31,female,South,gold
317,C00318,kevinclayton@valdez.com,2024-08-11,female,West,gold
318,C00319,ebennett@gmail.com,2025-03-10,male,West,gold 
319,C00320,christopherbruce@mueller.com,2025-06-18,female,Central,bronze
320,C00321,jasonparrish@alvarez.com,2025-06-20,male,West,silver
321,C00322,sarahedwards@matthews.biz,2025-07-01,male,South,gold
322,C00323,francisco39@rhodes-fernandez.biz,2025-04-25,Other,South,bronze
323,C00324,masonterri@davis.com,2024-11-15,female,Central,gold 
324,C00325,anthony47@yahoo.com,2024-10-02,male,West,bronze
325,C00326,rreynolds@hotmail.com,2025-03-19,female,East,gold
326,C00327,bartonkenneth@gmail.com,2025-04-08,male,East,bronze
327,C00328,adamsnorman@moore.com,2024-07-08,female,Central,gold 
328,C00329,rward@gmail.com,2024-08-26,female,South,gold
329,C00330,ryanhawkins@russell.com,2025-02-22,Other,West,bronze
330,C00331,asmith@yahoo.com,2025-05-04,female,West,gold
331,C00332,ashleyjackson@jackson-adams.com,2025-01-13,male,East,silver
332,C00333,jacksonjoshua@washington-jones.com,2024-10-09,female,South,bronze
333,C00334,stephentaylor@gmail.com,2024-12-06,female,South,gold
334,C00335,vbrock@yahoo.com,2024-11-12,male,South,gold 
335,C00336,kevinmorrison@hotmail.com,2024-09-22,female,East,silver
336,C00337,gregory65@yahoo.com,2025-04-17,male,Central,gold
337,C00338,markramirez@yahoo.com,2024-11-24,male,South,gold 
338,C00339,brittanygardner@saunders.com,2024-12-23,female,North,gold 
340,C00341,cynthiaallen@hotmail.com,2024-09-03,female,Central,silver
341,C00342,mjones@yahoo.com,2025-02-17,Other,East,gold
342,C00343,ystephens@yahoo.com,2025-04-04,Other,East,silver
343,C00344,mackdiane@jackson-salazar.org,2025-03-13,female,West,gold
344,C00345,tammy61@gmail.com,2024-08-13,female,West,gold
345,C00346,williamstone@hotmail.com,2024-08-10,male,East,gold
346,C00347,dbrooks@chapman.com,2025-01-09,male,East,gold
347,C00348,robert11@thomas.com,2025-01-24,female,West,gold
348,C00349,thomas77@yahoo.com,2024-08-01,female,East,gold
349,C00350,patrickdarin@yahoo.com,2025-03-14,female,North,silver
350,C00351,sarahyang@thompson.info,2024-10-04,female,South,gold 
351,C00352,jacobsandoval@yahoo.com,2024-07-17,Other,West,gold
352,C00353,yvargas@bush.com,2025-04-24,Other,West,gold 
353,C00354,lloydamanda@nguyen-ellis.com,2025-03-23,male,Central,silver
354,C00355,candice96@hotmail.com,2024-08-19,female,East,silver
355,C00356,megan92@hotmail.com,2025-04-06,female,South,gold 
356,C00357,powerslawrence@gmail.com,2024-11-01,male,Central,silver
357,C00358,nathanielthomas@barnes-taylor.biz,2024-12-17,female,West,gold
358,C00359,sreid@arias.com,2024-08-29,male,West,gold
359,C00360,megan90@crane-washington.com,2025-05-18,Other,East,silver
360,C00361,fortiz@yahoo.com,2025-04-07,female,West,bronze
361,C00362,kjackson@gmail.com,2025-05-11,male,East,gold 
362,C00363,antonio38@jackson-ellis.info,2025-02-04,male,West,gold
363,C00364,adamsamy@weaver-sherman.info,2025-02-03,female,South,silver
364,C00365,pgarcia@evans.info,2024-10-16,male,West,silver
365,C00366,gonzalesvictoria@gmail.com,2024-09-25,female,North,bronze
366,C00367,imartin@gmail.com,2025-05-17,female,North,silver
367,C00368,hudsonamanda@ryan.com,2025-02-13,female,East,silver
368,C00369,taylorkaren@yahoo.com,2025-06-27,Other,West,bronze
369,C00370,michelle22@thomas.com,2025-04-27,female,East,gold
370,C00371,othomas@yahoo.com,2025-03-06,Other,North,silver
372,C00373,shawn75@hotmail.com,2024-07-06,male,Central,gold 
373,C00374,sreid@horn-flynn.biz,2024-09-28,female,North,gold
374,C00375,troymorris@yahoo.com,2024-11-14,Other,West,silver
376,C00377,scottsmith@harris-barker.com,2025-06-13,female,Central,bronze
377,C00378,nancymcdowell@gmail.com,2025-03-17,male,South,gold 
378,C00379,christopher20@yahoo.com,2025-03-05,male,North,gold
379,C00380,rubendavis@gmail.com,2024-07-06,male,South,gold
380,C00381,lmiller@stone.com,2024-07-09,male,South,gold 
381,C00382,mcneilrobert@gmail.com,2025-01-07,female,East,gold 
382,C00383,patrickcross@garcia.com,2024-08-28,female,North,gold
383,C00384,darlenebyrd@gmail.com,2025-01-28,female,South,bronze
384,C00385,scottbowen@goodman.info,2025-06-04,male,South,gold 
385,C00386,mosleydonald@lawrence.com,2024-12-19,Other,East,gold
386,C00387,johnnewman@gmail.com,2025-02-05,female,North,gold 
387,C00388,abbottdominique@yahoo.com,2024-09-23,male,North,gold 
388,C00389,dphillips@simpson.com,2025-01-16,female,Central,gold 
389,C00390,hatfieldsarah@hughes.biz,2024-11-24,female,East,silver
390,C00391,xbest@smith.com,2024-10-15,Other,North,bronze
391,C00392,livingstonstacy@hunter-fuller.net,2025-04-29,female,West,gold
392,C00393,fmiles@hotmail.com,2025-01-30,female,North,gold
393,C00394,christopher18@mccann.net,2024-11-09,male,Central,gold 
394,C00395,collinssamuel@gmail.com,2024-07-28,male,East,gold
395,C00396,middletondarren@lynch.com,2024-08-21,male,North,gold 
396,C00397,jacquelinemartin@mills-logan.com,2024-09-08,female,North,silver
397,C00398,karamarks@hotmail.com,2025-06-15,Other,Central,bronze
398,C00399,rogersruben@brown.com,2025-01-14,male,North,bronze
399,C00400,brian92@yahoo.com,2024-09-05,male,Central,gold 
400,C00401,shannonemily@gmail.com,2024-10-02,male,Central,bronze
401,C00402,trevinoalexander@ruiz.com,2024-09-13,female,South,silver
402,C00403,pwalker@moon-flores.com,2025-02-12,female,East,silver
403,C00404,shawrachel@gmail.com,2024-09-30,male,East,gold
404,C00405,djones@ayala-collins.com,2025-02-05,Other,West,silver
405,C00406,woodkelly@yahoo.com,2025-04-19,female,North,bronze
406,C00407,frichardson@oconnor.com,2024-09-02,female,East,gold
407,C00408,ijohnson@fields-steele.com,2024-11-13,male,East,bronze
408,C00409,usweeney@garcia-moreno.com,2024-12-16,female,Central,gold 
409,C00410,kaufmandouglas@yahoo.com,2024-08-11,female,North,silver
410,C00411,phyllismeyer@huang.org,2024-08-12,male,East,gold
411,C00412,kjones@graham.com,2024-10-27,male,South,silver
412,C00413,sara65@yahoo.com,2024-12-28,female,Central,gold 
413,C00414,charlesharris@hotmail.com,2024-08-17,male,South,gold
414,C00415,martinsteven@martinez-howard.com,2024-12-28,female,South,gold
415,C00416,hbaker@gmail.com,2024-09-05,female,West,gold
416,C00417,lewismelissa@gmail.com,2024-08-10,female,Central,gold 
417,C00418,randy04@wilkins-thompson.biz,2025-06-02,male,North,gold
418,C00419,codygarcia@gmail.com,2024-08-22,female,South,bronze
419,C00420,greertoni@gonzalez.com,2025-03-29,male,East,bronze
420,C00421,samantha10@gonzalez.info,2025-05-16,female,West,gold 
421,C00422,steinmaria@martinez-dunlap.com,2024-09-09,Other,North,silver
422,C00423,ycrawford@hotmail.com,2024-12-18,male,East,bronze
